x,y,z
321,53,a
321,54,a
321,55,a
321,55,a
320,55,a
320,56,a
320,57,a
320,58,a
320,58,a
320,58,a
320,59,a
320,59,a
319,59,a
319,60,a
319,61,a
319,62,a
319,63,a
319,64,a
318,64,a
318,64,a
318,65,a
318,65,a
318,66,a
318,67,a
318,68,a
318,68,a
318,69,a
317,69,a
317,70,a
317,71,a
316,71,a
316,72,a
316,72,a
315,72,a
314,72,a
314,72,a
314,73,a
313,73,a
312,73,a
312,73,a
312,74,a
311,74,a
310,75,a
309,76,a
308,76,a
308,77,a
307,77,a
307,77,a
307,78,a
306,78,a
305,78,a
305,78,a
305,78,a
304,78,a
303,78,a
302,78,a
302,78,a
302,79,a
301,79,a
300,79,a
300,80,a
299,80,a
298,81,a
297,81,a
296,81,a
296,82,a
295,83,a
294,84,a
293,84,a
293,85,a
292,86,a
292,87,a
291,88,a
290,88,a
289,89,a
289,90,a
288,90,a
288,91,a
287,92,a
286,93,a
285,94,a
285,96,a
284,97,a
284,98,a
284,98,a
284,99,a
283,101,a
283,103,a
282,104,a
282,105,a
281,105,a
281,106,a
281,107,a
280,107,a
280,107,a
279,107,a
279,108,a
279,109,a
278,109,a
278,110,a
278,110,a
278,111,a
278,112,a
278,113,a
278,114,a
277,114,a
277,115,a
277,116,a
277,116,a
277,117,a
276,117,a
276,118,a
276,119,a
276,120,a
275,121,a
275,122,a
275,123,a
274,123,a
274,124,a
274,125,a
273,125,a
273,126,a
273,127,a
273,128,a
273,129,a
273,129,a
272,131,a
272,132,a
272,133,a
272,135,a
272,136,a
272,137,a
272,138,a
272,139,a
272,139,a
272,140,a
272,141,a
272,141,a
272,142,a
272,143,a
272,143,a
272,144,a
272,145,a
272,147,a
272,149,a
273,149,a
273,150,a
273,151,a
273,152,a
273,153,a
274,154,a
274,154,a
274,155,a
274,156,a
274,157,a
274,158,a
274,158,a
274,159,a
274,160,a
274,161,a
274,162,a
274,163,a
274,163,a
274,164,a
274,165,a
274,165,a
274,166,a
274,167,a
274,167,a
274,168,a
275,170,a
275,171,a
275,172,a
275,173,a
275,173,a
275,174,a
275,175,a
276,175,a
276,177,a
276,178,a
276,178,a
276,179,a
276,179,a
276,180,a
277,180,a
277,181,a
278,182,a
279,183,a
280,183,a
281,184,a
282,184,a
282,184,a
282,184,a
283,184,a
285,184,a
286,184,a
286,184,a
287,184,a
288,184,a
289,184,a
289,184,a
289,183,a
291,183,a
292,183,a
294,183,a
295,183,a
296,183,a
296,182,a
296,182,a
297,182,a
298,182,a
299,182,a
300,182,a
301,182,a
303,182,a
305,182,a
307,181,a
308,181,a
308,181,a
309,181,a
310,181,a
312,180,a
314,180,a
314,179,a
314,178,a
314,177,a
313,177,a
313,176,a
313,176,a
312,175,a
312,174,a
311,173,a
311,172,a
310,171,a
309,170,a
309,169,a
308,168,a
308,167,a
307,166,a
306,164,a
306,163,a
305,162,a
304,160,a
304,158,a
303,157,a
302,156,a
302,155,a
300,153,a
299,152,a
299,151,a
299,150,a
298,149,a
298,147,a
297,146,a
296,145,a
296,144,a
296,144,a
296,143,a
296,142,a
296,141,a
296,139,a
296,138,a
296,138,a
296,137,a
296,136,a
296,135,a
296,134,a
296,134,a
296,133,a
296,132,a
296,131,a
296,130,a
296,130,a
296,129,a
296,128,a
296,127,a
296,126,a
295,123,a
295,122,a
295,121,a
294,120,a
294,119,a
294,119,a
294,118,a
293,118,a
293,117,a
293,116,a
293,116,a
293,115,a
293,114,a
292,114,a
292,113,a
292,113,a
292,112,a
292,111,a
292,110,a
291,110,a
292,110,a
292,111,a
293,113,a
293,114,a
294,115,a
294,116,a
294,118,a
295,119,a
295,120,a
295,120,a
295,121,a
296,121,a
296,122,a
296,122,a
296,123,a
296,124,a
296,125,a
296,126,a
296,127,a
296,128,a
296,128,a
296,129,a
296,130,a
297,131,a
298,131,a
298,131,a
299,131,a
300,131,a
301,131,a
302,131,a
302,131,a
303,130,a
304,130,a
305,130,a
305,130,a
305,130,a
306,130,a
307,130,a
307,129,a
308,129,a
309,129,a
309,129,a
309,128,a
310,128,a
311,128,a
312,128,a
312,127,a
313,127,a
313,127,a
313,127,a
312,127,a
311,127,a
311,127,a
311,128,a
310,128,a
309,128,a
308,128,a
308,129,a
307,129,a
307,130,a
307,130,a
307,130,a
307,131,a
307,132,a
306,132,a
306,133,a
305,133,a
305,133,a
304,133,a
304,133,a
304,134,a
304,135,a
303,135,a
303,136,a
303,136,a
302,136,a
302,137,a
302,138,a
302,140,a
302,141,a
302,141,a
301,142,a
301,143,a
301,144,a
301,145,a
301,146,a
301,146,a
301,147,a
301,147,a
301,148,a
301,149,a
301,149,a
301,150,a
301,151,a
302,152,a
302,153,a
303,154,a
304,155,a
304,156,a
305,157,a
306,157,a
306,157,a
307,158,a
307,159,a
308,160,a
308,161,a
309,162,a
309,163,a
309,164,a
310,165,a
311,167,a
311,168,a
311,169,a
312,170,a
312,171,a
312,173,a
313,174,a
313,175,a
313,176,a
313,176,a
313,177,a
313,178,a
313,178,a
312,178,a
312,178,a
311,179,a
310,179,a
309,179,a
309,179,a
309,180,a
308,180,a
307,180,a
305,180,a
303,181,a
301,181,a
300,181,a
299,181,a
297,181,a
295,181,a
293,181,a
292,181,a
292,182,a
291,182,a
290,182,a
288,182,a
287,182,a
286,182,a
285,182,a
285,182,a
284,182,a
283,182,a
282,182,a
281,182,a
281,182,a
280,182,a
279,182,a
279,182,a
278,182,a
278,182,a
277,182,a
277,183,a
276,183,a
276,184,a
276,184,a
276,185,a
276,186,a
276,186,a
276,187,a
276,188,a
276,189,a
276,190,a
276,191,a
276,192,a
276,192,a
276,193,a
277,194,a
278,195,a
278,196,a
278,197,a
279,197,a
280,199,a
281,200,a
282,200,a
282,201,a
283,201,a
283,201,a
284,201,a
285,201,a
285,201,a
286,201,a
287,201,a
288,201,a
290,201,a
291,200,a
292,200,a
293,200,a
294,200,a
294,200,a
294,199,a
295,199,a
296,199,a
296,199,a
297,199,a
298,199,a
299,199,a
299,198,a
300,197,a
302,197,a
303,196,a
303,195,a
302,195,a
302,196,a
301,196,a
301,197,a
300,197,a
299,197,a
299,197,a
298,197,a
298,198,a
298,199,a
297,199,a
296,200,a
295,200,a
295,201,a
294,201,a
293,201,a
293,202,a
292,202,a
291,202,a
291,202,a
290,202,a
290,202,a
289,202,a
288,202,a
288,203,a
288,203,a
287,203,a
287,203,a
287,204,a
286,204,a
286,204,a
285,204,a
285,204,a
284,204,a
284,205,a
284,206,a
284,206,a
284,207,a
284,208,a
284,209,a
284,210,a
284,211,a
284,212,a
284,213,a
284,214,a
284,215,a
284,216,a
284,217,a
284,219,a
284,221,a
285,222,a
285,223,a
285,225,a
285,226,a
286,227,a
286,228,a
286,230,a
287,231,a
287,232,a
287,233,a
287,234,a
288,235,a
289,237,a
290,238,a
290,239,a
291,240,a
291,240,a
292,240,a
294,242,a
295,243,a
296,243,a
297,243,a
297,243,a
297,243,a
299,244,a
300,244,a
301,245,a
302,245,a
303,245,a
304,245,a
305,245,a
306,245,a
308,246,a
310,246,a
313,246,a
314,246,a
314,247,a
314,247,a
315,247,a
316,247,a
317,247,a
319,247,a
321,247,a
322,247,a
319,247,a
319,247,a
318,247,a
318,247,a
317,247,a
317,247,a
317,246,a
316,246,a
315,246,a
314,246,a
314,246,a
313,246,a
312,246,a
310,245,a
309,245,a
308,245,a
308,245,a
307,245,a
305,245,a
304,245,a
303,245,a
302,245,a
301,245,a
300,245,a
299,245,a
297,245,a
297,245,a
295,245,a
294,245,a
293,245,a
293,245,a
294,245,a
294,246,a
295,246,a
296,246,a
296,247,a
297,247,a
298,248,a
299,250,a
301,251,a
301,252,a
302,253,a
303,253,a
303,254,a
304,254,a
304,255,a
304,255,a
305,256,a
305,257,a
306,257,a
307,258,a
309,258,a
310,259,a
312,259,a
313,259,a
315,260,a
318,260,a
319,260,a
321,260,a
322,261,a
323,261,a
324,261,a
325,262,a
326,262,a
327,262,a
329,262,a
331,262,a
332,262,a
333,263,a
334,263,a
336,264,a
338,264,a
340,264,a
343,264,a
345,264,a
347,265,a
349,265,a
350,265,a
351,265,a
352,265,a
354,266,a
355,266,a
357,266,a
360,266,a
361,266,a
362,266,a
364,266,a
368,266,a
371,266,a
372,266,a
373,265,a
375,265,a
378,264,a
380,264,a
381,264,a
381,263,a
381,263,a
382,261,a
383,261,a
384,260,a
384,259,a
385,259,a
386,257,a
387,256,a
389,254,a
390,253,a
391,252,a
392,251,a
393,250,a
394,250,a
395,248,a
396,247,a
397,245,a
398,244,a
398,243,a
399,243,a
399,242,a
399,241,a
400,240,a
401,239,a
401,238,a
401,238,a
401,237,a
402,237,a
402,236,a
403,235,a
403,234,a
404,233,a
404,232,a
404,231,a
406,228,a
406,228,a
406,228,a
406,227,a
407,226,a
407,225,a
408,225,a
408,224,a
408,223,a
409,222,a
409,220,a
410,219,a
410,218,a
411,217,a
411,216,a
412,215,a
412,213,a
412,211,a
413,209,a
414,207,a
415,206,a
416,205,a
416,204,a
416,203,a
416,202,a
417,200,a
418,198,a
418,196,a
419,195,a
419,194,a
419,193,a
419,192,a
419,191,a
420,191,a
420,191,a
421,190,a
421,189,a
421,188,a
422,187,a
423,185,a
423,184,a
423,183,a
424,182,a
424,181,a
425,181,a
425,180,a
425,179,a
425,178,a
425,177,a
425,176,a
426,174,a
426,173,a
426,173,a
426,172,a
426,170,a
427,170,a
427,170,a
427,167,a
427,166,a
428,165,a
428,164,a
428,163,a
428,163,a
428,162,a
428,161,a
428,160,a
428,159,a
428,159,a
428,158,a
428,157,a
428,155,a
428,153,a
428,152,a
428,151,a
428,150,a
428,150,a
427,149,a
427,147,a
427,146,a
426,145,a
426,144,a
426,142,a
425,141,a
425,140,a
425,139,a
425,138,a
424,137,a
423,135,a
423,134,a
423,133,a
423,131,a
422,129,a
422,127,a
421,126,a
421,125,a
421,124,a
421,124,a
421,123,a
421,122,a
421,121,a
421,121,a
421,120,a
421,119,a
420,118,a
420,116,a
420,115,a
419,115,a
419,114,a
419,114,a
418,114,a
418,113,a
418,112,a
417,112,a
417,111,a
417,110,a
416,108,a
416,107,a
416,106,a
416,105,a
415,104,a
415,103,a
415,102,a
415,102,a
414,102,a
414,101,a
414,100,a
413,100,a
413,99,a
412,98,a
412,97,a
411,97,a
411,96,a
411,95,a
411,95,a
410,96,a
409,93,a
408,92,a
408,91,a
408,90,a
408,90,a
408,89,a
407,88,a
407,87,a
407,87,a
406,86,a
405,85,a
405,84,a
404,84,a
404,83,a
403,82,a
402,82,a
402,81,a
402,81,a
401,81,a
401,81,a
399,79,a
398,78,a
397,77,a
396,77,a
396,76,a
396,76,a
395,75,a
394,75,a
393,75,a
392,74,a
391,73,a
390,73,a
390,73,a
389,72,a
388,72,a
387,71,a
387,71,a
386,70,a
