x,y,z
284,396,a
281,393,a
278,392,a
270,389,a
260,384,a
252,379,a
245,375,a
237,368,a
229,359,a
222,352,a
217,347,a
212,339,a
207,329,a
202,318,a
196,300,a
194,286,a
190,273,a
188,260,a
187,250,a
186,243,a
188,231,a
190,214,a
194,199,a
199,183,a
201,174,a
205,167,a
208,162,a
213,156,a
224,145,a
240,134,a
257,124,a
278,117,a
298,112,a
312,110,a
321,107,a
332,105,a
343,104,a
360,103,a
380,101,a
408,100,a
431,100,a
447,100,a
457,100,a
468,101,a
480,103,a
497,108,a
519,115,a
541,126,a
557,137,a
569,145,a
578,155,a
584,163,a
588,173,a
592,186,a
596,201,a
599,215,a
602,229,a
602,238,a
602,245,a
602,252,a
602,257,a
600,267,a
598,275,a
597,284,a
593,293,a
591,297,a
587,304,a
584,310,a
578,320,a
572,329,a
565,341,a
555,352,a
549,360,a
545,365,a
541,368,a
536,372,a
531,376,a
524,382,a
516,389,a
506,397,a
490,405,a
480,410,a
469,415,a
461,418,a
453,421,a
445,423,a
439,425,a
431,427,a
421,430,a
414,430,a
409,431,a
402,432,a
397,432,a
393,432,a
385,432,a
380,432,a
372,432,a
366,432,a
360,433,a
353,433,a
347,433,a
342,433,a
335,433,a
331,433,a
330,433,a
327,433,a
323,433,a
319,433,a
316,433,a
313,432,a
310,431,a
306,430,a
302,429,a
299,429,a
296,428,a
293,427,a
291,426,a
289,426,a
287,426,a
284,424,a
281,423,a
278,423,a
278,422,a
277,422,a
276,422,a
276,421,a
274,421,a
273,420,a
272,419,a
271,419,a
270,418,a
269,417,a
268,416,a
267,416,a
267,415,a
266,412,a
265,411,a
264,409,a
264,408,a
264,407,a
263,405,a
262,402,a
262,400,a
262,397,a
262,396,a
262,394,a
262,393,a
262,392,a
262,390,a
263,388,a
264,386,a
265,384,a
265,382,a
266,381,a
268,379,a
270,376,a
272,373,a
274,372,a
275,370,a
277,368,a
278,367,a
279,364,a
281,362,a
284,357,a
285,354,a
287,352,a
289,347,a
290,344,a
292,343,a
292,338,a
294,334,a
296,329,a
297,327,a
298,325,a
299,323,a
299,321,a
300,319,a
300,317,a
301,315,a
301,314,a
302,309,a
304,304,a
305,301,a
305,299,a
306,296,a
306,294,a
306,292,a
307,289,a
307,284,a
307,282,a
307,280,a
308,278,a
308,276,a
308,275,a
308,272,a
307,267,a
307,264,a
307,261,a
306,256,a
306,251,a
306,247,a
306,243,a
305,236,a
305,232,a
305,226,a
305,221,a
306,217,a
306,213,a
306,207,a
307,203,a
308,200,a
310,195,a
310,192,a
311,189,a
313,187,a
315,181,a
319,177,a
322,170,a
324,168,a
326,166,a
327,165,a
328,163,a
330,162,a
332,161,a
337,158,a
341,157,a
347,155,a
354,154,a
362,152,a
370,150,a
382,149,a
395,147,a
404,147,a
411,146,a
415,146,a
418,146,a
421,146,a
426,147,a
432,148,a
437,150,a
441,151,a
444,153,a
448,156,a
452,161,a
458,166,a
461,171,a
465,175,a
467,178,a
470,182,a
470,185,a
471,186,a
473,190,a
473,195,a
473,198,a
474,203,a
474,206,a
474,209,a
474,211,a
474,214,a
474,219,a
474,222,a
473,223,a
473,225,a
472,227,a
471,229,a
470,231,a
470,232,a
470,233,a
468,234,a
467,235,a
466,237,a
465,239,a
464,241,a
462,245,a
461,246,a
459,250,a
457,253,a
455,256,a
452,259,a
451,265,a
450,267,a
449,269,a
448,272,a
447,276,a
446,278,a
445,282,a
444,286,a
443,290,a
443,291,a
442,294,a
442,296,a
442,300,a
441,303,a
441,307,a
441,312,a
440,315,a
440,318,a
440,322,a
440,327,a
440,329,a
440,333,a
440,336,a
440,339,a
440,341,a
