x,y,z
69,177,d
69,179,d
68,180,d
68,181,d
68,181,d
68,182,d
68,183,d
68,183,d
67,184,d
67,185,d
67,186,d
67,187,d
67,187,d
67,188,d
67,189,d
67,189,d
67,190,d
67,192,d
67,193,d
67,194,d
66,195,d
66,196,d
65,196,d
65,197,d
65,197,d
64,197,d
64,198,d
63,198,d
63,199,d
63,200,d
63,201,d
63,202,d
63,202,d
62,202,d
62,203,d
62,204,d
62,205,d
61,205,d
61,206,d
60,206,d
60,206,d
60,207,d
60,208,d
60,209,d
60,211,d
60,212,d
60,213,d
60,215,d
59,215,d
59,216,d
59,217,d
59,217,d
59,218,d
59,219,d
59,220,d
58,220,d
58,221,d
57,221,d
57,222,d
56,223,d
55,224,d
55,225,d
54,225,d
54,225,d
54,225,d
54,226,d
54,227,d
54,228,d
54,229,d
53,230,d
53,231,d
53,232,d
53,233,d
52,234,d
52,235,d
52,235,d
52,236,d
51,237,d
51,238,d
51,238,d
50,238,d
50,240,d
50,241,d
50,242,d
50,243,d
50,243,d
50,244,d
50,245,d
50,247,d
50,248,d
50,249,d
50,250,d
50,251,d
50,252,d
50,253,d
50,254,d
50,254,d
50,255,d
50,256,d
50,257,d
50,258,d
50,259,d
50,260,d
50,261,d
50,262,d
50,262,d
50,263,d
50,264,d
49,264,d
49,265,d
49,265,d
49,266,d
48,266,d
48,267,d
48,269,d
47,269,d
47,270,d
47,271,d
47,273,d
46,274,d
46,275,d
46,275,d
46,276,d
46,277,d
46,277,d
46,278,d
46,278,d
45,281,d
45,282,d
46,283,d
46,284,d
46,284,d
47,284,d
48,285,d
48,286,d
49,286,d
49,287,d
50,287,d
51,288,d
51,289,d
51,290,d
52,290,d
53,291,d
53,292,d
54,292,d
54,292,d
54,292,d
54,293,d
54,294,d
55,295,d
57,298,d
58,298,d
58,299,d
59,299,d
59,300,d
60,300,d
60,301,d
61,302,d
62,302,d
63,302,d
63,303,d
64,303,d
65,305,d
66,305,d
67,305,d
67,306,d
68,306,d
69,307,d
70,308,d
71,308,d
71,309,d
72,310,d
73,310,d
74,311,d
75,312,d
76,312,d
76,312,d
77,312,d
77,313,d
78,313,d
79,313,d
81,315,d
82,316,d
83,316,d
84,316,d
84,317,d
85,317,d
86,318,d
87,318,d
89,319,d
90,319,d
90,320,d
92,321,d
93,321,d
93,322,d
94,322,d
94,322,d
95,322,d
95,323,d
96,323,d
97,323,d
99,324,d
99,325,d
100,325,d
100,325,d
101,326,d
102,326,d
103,326,d
103,326,d
104,326,d
104,326,d
105,326,d
106,327,d
107,327,d
109,328,d
110,328,d
110,328,d
111,328,d
111,329,d
112,329,d
112,329,d
113,329,d
114,330,d
115,331,d
116,331,d
117,331,d
118,332,d
120,333,d
121,333,d
121,333,d
122,333,d
123,333,d
124,333,d
126,334,d
127,334,d
127,334,d
129,335,d
131,335,d
131,336,d
132,336,d
133,336,d
134,336,d
135,336,d
136,336,d
139,336,d
140,336,d
141,336,d
142,336,d
144,336,d
147,336,d
149,336,d
150,336,d
152,336,d
154,336,d
155,336,d
159,336,d
161,336,d
163,336,d
164,336,d
165,336,d
167,336,d
170,336,d
171,336,d
172,336,d
173,336,d
173,336,d
174,336,d
175,336,d
176,336,d
177,336,d
180,336,d
180,336,d
180,335,d
181,335,d
181,335,d
182,335,d
183,335,d
184,334,d
186,334,d
189,332,d
189,332,d
190,332,d
191,332,d
191,332,d
192,332,d
192,331,d
193,331,d
193,330,d
194,330,d
194,329,d
195,329,d
196,328,d
197,327,d
197,327,d
197,326,d
198,325,d
199,324,d
199,323,d
200,322,d
201,320,d
201,320,d
202,320,d
202,319,d
202,318,d
203,317,d
204,315,d
205,314,d
205,313,d
205,312,d
205,311,d
205,310,d
206,310,d
207,309,d
207,308,d
207,307,d
208,307,d
208,306,d
209,306,d
209,306,d
209,305,d
209,305,d
210,305,d
210,304,d
211,304,d
211,303,d
211,303,d
211,302,d
212,302,d
212,302,d
212,301,d
213,301,d
213,300,d
214,299,d
214,298,d
215,297,d
215,296,d
215,295,d
216,295,d
216,294,d
217,293,d
218,293,d
218,292,d
220,291,d
220,290,d
221,290,d
221,289,d
221,289,d
221,288,d
221,287,d
222,286,d
223,285,d
223,284,d
224,284,d
224,284,d
226,283,d
227,282,d
227,281,d
228,281,d
228,280,d
228,280,d
228,279,d
230,278,d
230,277,d
231,277,d
231,276,d
232,276,d
232,276,d
233,276,d
234,275,d
236,274,d
236,273,d
237,272,d
238,272,d
